57 - ckmb52fldxkseven3fkjgcbzmnr7                       - ckmb52fldxkse7ven3fkjgcbzmnr7                     
38 - 3xfhdfrgqjfourkfjone7four8                         - 3xfhdfrgqjfo4urkfjo1e7fo4ur8                      
98 - nine4three6sevenfourthreeeight                     - ni9ne4th3ee6se7venfo4urth3eeei8ght                
56 - njvdqthkv5seven6fourtbklhrqqsixeight6              - njvdqthkv5se7ven6fo4urtbklhrqqsi6xei8ght6         
58 - 58rcfcjdkxcj3eightlndf                             - 58rcfcjdkxcj3ei8ghtlndf                           
77 - jhnt7zblnkdvhslrhpbkzdh                            - jhnt7zblnkdvhslrhpbkzdh                           
79 - 7threetrlkmmlzsmtwo4dmjf94nine                     - 7th3eetrlkmmlzsmt2o4dmjf94ni9ne                   
78 - pssrhmtcv7twotwodjxvlbmnfive58                     - pssrhmtcv7t2ot2odjxvlbmnfi5ve58                   
81 - eightseven271onefxxrfglh                           - ei8ghtse7ven271o1efxxrfglh                        
92 - 9bmtwo                                             - 9bmt2o                                            
32 - three522                                           - th3ee522                                          
82 - eightseventworckvnine2                             - ei8ghtse7vent2orckvni9ne2                         
65 - 6fourtzmlrkrztvtxfcdf5                             - 6fo4urtzmlrkrztvtxfcdf5                           
37 - 3six4rdchffcg7                                     - 3si6x4rdchffcg7                                   
69 - 6threedqssixnine                                   - 6th3eedqssi6xni9ne                                
56 - fivetwo6                                           - fi5vet2o6                                         
68 - sixnpkr5xbxmjcxjznpnrf8brxtmgl                     - si6xnpkr5xbxmjcxjznpnrf8brxtmgl                   
39 - gtvg3zzbeightkphjs69pjprvhlgl                      - gtvg3zzbei8ghtkphjs69pjprvhlgl                    
75 - 7kclrcjbtkcr63two5                                 - 7kclrcjbtkcr63t2o5                                
32 - threehpn38fivedcmfkgqqeightwovg                    - th3eehpn38fi5vedcmfkgqqei8ght2ovg                 
53 - hbjcsfshsjqqfive9sevenfourthree3fzjpfjzd           - hbjcsfshsjqqfi5ve9se7venfo4urth3ee3fzjpfjzd       
51 - five7qzhnthree1                                    - fi5ve7qzhnth3ee1                                  
19 - nxhg17j8ninejnqlnine                               - nxhg17j8ni9nejnqlni9ne                            
22 - ddlnxmcg2                                          - ddlnxmcg2                                         
85 - rxeightwopqtpqncvd481154fiveb                      - rxei8ght2opqtpqncvd481154fi5veb                   
74 - sevenvbkzgzmnine4qhpptngvhh                        - se7venvbkzgzmni9ne4qhpptngvhh                     
69 - bkmz6nineeight69                                   - bkmz6ni9neei8ght69                                
41 - tqvzkqfourrj4one                                   - tqvzkqfo4urrj4o1e                                 
16 - sh15nzxzhqdxd96dqht                                - sh15nzxzhqdxd96dqht                               
69 - 6rhztqrfninefsqszx                                 - 6rhztqrfni9nefsqszx                               
35 - 38cngonefourrhlljvpgz5vzhmbdjj5                    - 38cngo1efo4urrhlljvpgz5vzhmbdjj5                  
85 - 8fiveddchtllpt                                     - 8fi5veddchtllpt                                   
16 - 13rgzljhsdjfive2six                                - 13rgzljhsdjfi5ve2si6x                             
73 - sevenbdnbheightfive7qbzjvlsr3                      - se7venbdnbhei8ghtfi5ve7qbzjvlsr3                  
59 - fivejmfvtnhz1eightkcdpjsghgtwonine9                - fi5vejmfvtnhz1ei8ghtkcdpjsghgt2oni9ne9            
53 - five3bllpvnqgtzdhvprgb                             - fi5ve3bllpvnqgtzdhvprgb                           
12 - t1vcttwo                                           - t1vctt2o                                          
92 - 9953three92                                        - 9953th3ee92                                       
99 - 9hrgxdpf                                           - 9hrgxdpf                                          
77 - sevennine579seven                                  - se7venni9ne579se7ven                              
34 - threekp1onefrfjbrmmpmsdsvfour                      - th3eekp1o1efrfjbrmmpmsdsvfo4ur                    
45 - 4threefive61rrhrtdjs5                              - 4th3eefi5ve61rrhrtdjs5                            
45 - xbmvcfqp4onesevenmkgvsnprtl65                      - xbmvcfqp4o1ese7venmkgvsnprtl65                    
39 - 379                                                - 379                                               
46 - 4966dlprfxmhmqdfour6                               - 4966dlprfxmhmqdfo4ur6                             
98 - 9lllhz8nmqxkzsevenxmbqvgqnj8                       - 9lllhz8nmqxkzse7venxmbqvgqnj8                     
18 - btkxnzonesevenjmkdcc1ff32eight                     - btkxnzo1ese7venjmkdcc1ff32ei8ght                  
75 - 7three65one745                                     - 7th3ee65o1e745                                    
73 - seven66ninelkbmvndm3                               - se7ven66ni9nelkbmvndm3                            
43 - 4three3sixeight3                                   - 4th3ee3si6xei8ght3                                
12 - 177dcxqqbqpkxgctwo                                 - 177dcxqqbqpkxgct2o                                
47 - 48cjpd47sevenzgtkrdlfq                             - 48cjpd47se7venzgtkrdlfq                           
52 - 5ppzvklbtnine212qlmt                               - 5ppzvklbtni9ne212qlmt                             
89 - 89tpmnr                                            - 89tpmnr                                           
13 - dh1gfgb6threeqcm3                                  - dh1gfgb6th3eeqcm3                                 
53 - five83                                             - fi5ve83                                           
69 - fzlkpx6seven2twotjlqpgldlfour49                    - fzlkpx6se7ven2t2otjlqpgldlfo4ur49                 
54 - fiveninefivenxpzkrslxm44                           - fi5veni9nefi5venxpzkrslxm44                       
48 - pxxbnsfoursixeight5mjkeight                        - pxxbnsfo4ursi6xei8ght5mjkei8ght                   
96 - ninefivesevenz6                                    - ni9nefi5vese7venz6                                
88 - djddxtdeight2vqsvdgttxonefourfhdfxszvfd8pjcvzbgp   - djddxtdei8ght2vqsvdgttxo1efo4urfhdfxszvfd8pjcvzbgp
29 - 253seven71nine                                     - 253se7ven71ni9ne                                  
81 - eight6cb71                                         - ei8ght6cb71                                       
19 - gfzptdj1nine5twosvtmpphj9mkhd                      - gfzptdj1ni9ne5t2osvtmpphj9mkhd                    
88 - hfjcpvzeight7ggqrmkmzrhbthreeeight                 - hfjcpvzei8ght7ggqrmkmzrhbth3eeei8ght              
12 - chjonetwo2lqxfrbvq                                 - chjo1et2o2lqxfrbvq                                
84 - fkfmntldvleight4threethreeeightfour                - fkfmntldvlei8ght4th3eeth3eeei8ghtfo4ur            
67 - 6j81threeseventwo3seven                            - 6j81th3eese7vent2o3se7ven                         
84 - seightwosvsnp4                                     - sei8ght2osvsnp4                                   
84 - 8bqjk75254                                         - 8bqjk75254                                        
64 - 6seventsmnfjtn4rthrp                               - 6se7ventsmnfjtn4rthrp                             
99 - 9kksdvfzzpsszffouronenrqrcnine                     - 9kksdvfzzpsszffo4uro1enrqrcni9ne                  
51 - 5dkpp8fournine4one                                 - 5dkpp8fo4urni9ne4o1e                              
49 - 4mpbzrfvj8two9sevenonenine                         - 4mpbzrfvj8t2o9se7veno1eni9ne                      
55 - jzkdrrjsnpxzxbjhb5                                 - jzkdrrjsnpxzxbjhb5                                
37 - three87oneonexppvhz3seven                          - th3ee87o1eo1exppvhz3se7ven                        
29 - two39kvrmz                                         - t2o39kvrmz                                        
58 - vdfive8dntsz                                       - vdfi5ve8dntsz                                     
37 - mthreehzdghb3eightsevenfttmjtx                     - mth3eehzdghb3ei8ghtse7venfttmjtx                  
22 - 2dlnjsxlg                                          - 2dlnjsxlg                                         
79 - 7threecrrdqksqsevensixnine                         - 7th3eecrrdqksqse7vensi6xni9ne                     
56 - mdxhrrrfiveone6                                    - mdxhrrrfi5veo1e6                                  
82 - 8nine52                                            - 8ni9ne52                                          
72 - 725two                                             - 725t2o                                            
29 - jzpxt2vcninenjgfzddk                               - jzpxt2vcni9nenjgfzddk                             
39 - three29                                            - th3ee29                                           
87 - zjrffvdgnpeight1sevenglpfkdb                       - zjrffvdgnpei8ght1se7venglpfkdb                    
28 - two3qnhqvxeight                                    - t2o3qnhqvxei8ght                                  
86 - slqdvfmeightmlhjdcvbrmsjvrk6                       - slqdvfmei8ghtmlhjdcvbrmsjvrk6                     
25 - two13kfxd28rzqhcdkjtbbstnhbfive                    - t2o13kfxd28rzqhcdkjtbbstnhbfi5ve                  
83 - qhdqqnjbdk8eighttwoqpthree                         - qhdqqnjbdk8ei8ghtt2oqpth3ee                       
18 - one1brxnptch263eight18                             - o1e1brxnptch263ei8ght18                           
33 - threexntmdtwokdmhf3pdkgpthree                      - th3eexntmdt2okdmhf3pdkgpth3ee                     
29 - 2three9jrcrmjvbrm                                  - 2th3ee9jrcrmjvbrm                                 
13 - 1mmlsfsdkzkvjtwo3b                                 - 1mmlsfsdkzkvjt2o3b                                
32 - sfkkkncf3three4seventwoqzhmcdfbhxfl                - sfkkkncf3th3ee4se7vent2oqzhmcdfbhxfl              
84 - vfnqlnrzcrzm8fourvpzxqdqsfb                        - vfnqlnrzcrzm8fo4urvpzxqdqsfb                      
51 - rjkhxqdmkrfive1                                    - rjkhxqdmkrfi5ve1                                  
27 - 2four2nine9znp6seven                               - 2fo4ur2ni9ne9znp6se7ven                           
71 - 7doneone                                           - 7do1eo1e                                          
92 - 9threetworqlk                                      - 9th3eet2orqlk                                     
88 - eighttpclmtv4twofour5mtxxnpthreeoneightfp          - ei8ghttpclmtv4t2ofo4ur5mtxxnpth3eeo1ei8ghtfp      
11 - onecfjgrbsjncmpqhqvhxtfpc21nineppone               - o1ecfjgrbsjncmpqhqvhxtfpc21ni9neppo1e             
89 - eightlvjxmxhfive9fb                                - ei8ghtlvjxmxhfi5ve9fb                             
94 - ninenrjlmcthree3four                               - ni9nenrjlmcth3ee3fo4ur                            
84 - eightlxrnvljrhksxzfxzbrt644                        - ei8ghtlxrnvljrhksxzfxzbrt644                      
31 - blmjnfgsrcms31                                     - blmjnfgsrcms31                                    
66 - zsix16xtjvrtn                                      - zsi6x16xtjvrtn                                    
11 - lkjfpxjh1sg57xbxlsxcrsix1                          - lkjfpxjh1sg57xbxlsxcrsi6x1                        
19 - mkmdcsbgvd19ninecsevenone9                         - mkmdcsbgvd19ni9necse7veno1e9                      
31 - three1p                                            - th3ee1p                                           
46 - 4prbjfour1ninesix                                  - 4prbjfo4ur1ni9nesi6x                              
76 - pkf7sixsb                                          - pkf7si6xsb                                        
56 - fiveclczl8sltncdxsix                               - fi5veclczl8sltncdxsi6x                            
43 - 4ninefourseven5three                               - 4ni9nefo4urse7ven5th3ee                           
37 - 3lpchjfgbhzjbqggsfoursixseven                      - 3lpchjfgbhzjbqggsfo4ursi6xse7ven                  
25 - twonmcfztwoqp1one5                                 - t2onmcfzt2oqp1o1e5                                
81 - 87sevendbqdsevenrlzkrhoneeightone                  - 87se7vendbqdse7venrlzkrho1eei8ghto1e              
44 - 4three4                                            - 4th3ee4                                           
26 - 2tthbbcpcr36tqvfjkfs                               - 2tthbbcpcr36tqvfjkfs                              
65 - rtzqgsixnine4bzqhjrq8five                          - rtzqgsi6xni9ne4bzqhjrq8fi5ve                      
84 - eight3fivel4kd                                     - ei8ght3fi5vel4kd                                  
13 - 1fourfourdpvvghvlzxtwothree                        - 1fo4urfo4urdpvvghvlzxt2oth3ee                     
21 - 2gzgzmrpbztm1cgzvvrtqt                             - 2gzgzmrpbztm1cgzvvrtqt                            
18 - qdrfrkncnt1eight                                   - qdrfrkncnt1ei8ght                                 
44 - smpz4mjrbthree1ninefour                            - smpz4mjrbth3ee1ni9nefo4ur                         
67 - 6seventhree7                                       - 6se7venth3ee7                                     
58 - 5278nlnfjrqlone8                                   - 5278nlnfjrqlo1e8                                  
98 - nine6eight                                         - ni9ne6ei8ght                                      
22 - twoqrtdsreight2dxhknhpdzz2pdbsnlpljlxkv9eightwop   - t2oqrtdsrei8ght2dxhknhpdzz2pdbsnlpljlxkv9ei8ght2op
61 - vl6eight9eightsix1lmth                             - vl6ei8ght9ei8ghtsi6x1lmth                         
71 - qxsevenkckxvmjkb1                                  - qxse7venkckxvmjkb1                                
21 - hvhlm2twotwoone                                    - hvhlm2t2ot2oo1e                                   
37 - grtlftfthtthree331dzzzoneseven                     - grtlftfthtth3ee331dzzzo1ese7ven                   
85 - ftpkgvrsc85cplddgnn                                - ftpkgvrsc85cplddgnn                               
66 - lhcbzhgfjlgmcsn66                                  - lhcbzhgfjlgmcsn66                                 
23 - twofourqjrltlvcmmzv8nine3ps                        - t2ofo4urqjrltlvcmmzv8ni9ne3ps                     
54 - knvz5four                                          - knvz5fo4ur                                        
34 - threefivefoureight7four                            - th3eefi5vefo4urei8ght7fo4ur                       
15 - one9fournine5                                      - o1e9fo4urni9ne5                                   
84 - cr8twofive7two4tlbpgbngsp                          - cr8t2ofi5ve7t2o4tlbpgbngsp                        
74 - seven6gzn8trjmzrvjthtpzld5dcqnjmtl4                - se7ven6gzn8trjmzrvjthtpzld5dcqnjmtl4              
12 - 1five1fourfour8hqjzshnszhzgcchs2                   - 1fi5ve1fo4urfo4ur8hqjzshnszhzgcchs2               
79 - tld78blgffjksevenninekmjnrzlvxr                    - tld78blgffjkse7venni9nekmjnrzlvxr                 
16 - 15six                                              - 15si6x                                            
63 - fqlmqhjslgnllgs6three                              - fqlmqhjslgnllgs6th3ee                             
55 - jvhmkfjzd5                                         - jvhmkfjzd5                                        
25 - kfkxjmbrgjzmjtwo2qnh45pxrkrcpmjd                   - kfkxjmbrgjzmjt2o2qnh45pxrkrcpmjd                  
17 - dh119mvxlfdft6sevenqdxb                            - dh119mvxlfdft6se7venqdxb                          
55 - five5jl                                            - fi5ve5jl                                          
22 - jhqp2qzkfvjdfts                                    - jhqp2qzkfvjdfts                                   
86 - teightwo6                                          - tei8ght2o6                                        
45 - kscczzhftqxmbrjtm46five5hncmntrgqz                 - kscczzhftqxmbrjtm46fi5ve5hncmntrgqz               
61 - 65341                                              - 65341                                             
43 - cxjpgfourfour98spklghbv73                          - cxjpgfo4urfo4ur98spklghbv73                       
53 - 5sevengnxldmlvnrzsthree                            - 5se7vengnxldmlvnrzsth3ee                          
63 - bsn6three                                          - bsn6th3ee                                         
56 - fivesixz36                                         - fi5vesi6xz36                                      
64 - snpmdmx65five4                                     - snpmdmx65fi5ve4                                   
61 - vrjbjsixfour37onesscclpgxr                         - vrjbjsi6xfo4ur37o1esscclpgxr                      
48 - four58                                             - fo4ur58                                           
45 - nlrflkxjzbpckmprkp435                              - nlrflkxjzbpckmprkp435                             
78 - pp78                                               - pp78                                              
33 - rhz3dblsmbl8mvmthree3svhbzb                        - rhz3dblsmbl8mvmth3ee3svhbzb                       
44 - qtztdn4                                            - qtztdn4                                           
55 - rqrdr5ninefivexj                                   - rqrdr5ni9nefi5vexj                                
54 - fiveone4ninesplghqrbcnmmzll4mvklfmxv               - fi5veo1e4ni9nesplghqrbcnmmzll4mvklfmxv            
33 - tj3ninekvczg3cczmhkdf                              - tj3ni9nekvczg3cczmhkdf                            
58 - fivelnrjmn3jvlmhplj4fourkvdceight                  - fi5velnrjmn3jvlmhplj4fo4urkvdcei8ght              
57 - five6jrbkxrvmtqfvbq7pmjmdkmkv                      - fi5ve6jrbkxrvmtqfvbq7pmjmdkmkv                    
66 - 6gcllrgktc                                         - 6gcllrgktc                                        
29 - 21zffhnksmjj1rcdpkcrznine                          - 21zffhnksmjj1rcdpkcrzni9ne                        
35 - threegpnpftrstmfive4ninefive                       - th3eegpnpftrstmfi5ve4ni9nefi5ve                   
16 - 1cnsixpnvrxq                                       - 1cnsi6xpnvrxq                                     
33 - 33qghllh                                           - 33qghllh                                          
41 - gfour1rmznkmplqfsevennksglsfdqtwotwonet            - gfo4ur1rmznkmplqfse7vennksglsfdqt2ot2o1et         
38 - kjqcslq3nineoneightkq                              - kjqcslq3ni9neo1ei8ghtkq                           
33 - three8oneninepjpqnzccthree                         - th3ee8o1eni9nepjpqnzccth3ee                       
34 - 3jpfhtrfrffournmrxrpdjm                            - 3jpfhtrfrffo4urnmrxrpdjm                          
24 - 2svsmkptdcmpkhbpmnineczjsjvlfpkckxscfour           - 2svsmkptdcmpkhbpmni9neczjsjvlfpkckxscfo4ur        
96 - dqxpjsnineonenvhptwocprtsbvcl6                     - dqxpjsni9neo1envhpt2ocprtsbvcl6                   
93 - ninethreesixninesixxjjjkvtbgd5hrstthree            - ni9neth3eesi6xni9nesi6xxjjjkvtbgd5hrstth3ee       
52 - fivefznprpxccnk8four3twobllsjnfjnx                 - fi5vefznprpxccnk8fo4ur3t2obllsjnfjnx              
26 - ghh2skv6                                           - ghh2skv6                                          
85 - eightninethree4jbcgrqeightfive                     - ei8ghtni9neth3ee4jbcgrqei8ghtfi5ve                
48 - 4ltjfxjbthreesixbrtzlbfdx7eight                    - 4ltjfxjbth3eesi6xbrtzlbfdx7ei8ght                 
19 - one9mvbrcc                                         - o1e9mvbrcc                                        
38 - three5khjdjlpl4hrzqblshkxdgseven8                  - th3ee5khjdjlpl4hrzqblshkxdgse7ven8                
22 - czvxncr2                                           - czvxncr2                                          
81 - eightthreedhkkpr9hqqdtwo1                          - ei8ghtth3eedhkkpr9hqqdt2o1                        
46 - fouronetnhxgzstdx31six                             - fo4uro1etnhxgzstdx31si6x                          
93 - fzcnineghrfbcbhhv263                               - fzcni9neghrfbcbhhv263                             
85 - eightfive525onexgrzfive                            - ei8ghtfi5ve525o1exgrzfi5ve                        
92 - zclvsg9three6eightkeighttwo                        - zclvsg9th3ee6ei8ghtkei8ghtt2o                     
25 - two35bhmnlt                                        - t2o35bhmnlt                                       
99 - 9s                                                 - 9s                                                
64 - xbshssrspj643four4vrjdnlf                          - xbshssrspj643fo4ur4vrjdnlf                        
92 - nineseven4ztnchhpx92                               - ni9nese7ven4ztnchhpx92                            
55 - gpfive25dvx                                        - gpfi5ve25dvx                                      
15 - 1five5                                             - 1fi5ve5                                           
18 - jtcstj1kqrsbhsdsk8                                 - jtcstj1kqrsbhsdsk8                                
81 - eight1sixsixbnsfouronecsv                          - ei8ght1si6xsi6xbnsfo4uro1ecsv                     
28 - tgplkg2hgeight                                     - tgplkg2hgei8ght                                   
79 - seveneightxsgcsfxd9dpkvltrsnlkccrskrbppmkxmpt      - se7venei8ghtxsgcsfxd9dpkvltrsnlkccrskrbppmkxmpt   
19 - pddbvnrqzznqmmonesixjgpgm9rmlxvqqmdbcqhng          - pddbvnrqzznqmmo1esi6xjgpgm9rmlxvqqmdbcqhng        
22 - xqdbsktwothxzfsmqptrjbthreesixhqgrffqcnine2        - xqdbskt2othxzfsmqptrjbth3eesi6xhqgrffqcni9ne2     
76 - vxvtfjsevenfivethreethreensflthreenine6            - vxvtfjse7venfi5veth3eeth3eensflth3eeni9ne6        
82 - 8one9sxrczdfg2                                     - 8o1e9sxrczdfg2                                    
36 - mdtdgjthreethreefjzqs16                            - mdtdgjth3eeth3eefjzqs16                           
86 - dnvpjteight6tcn                                    - dnvpjtei8ght6tcn                                  
83 - eightnine3cdzk                                     - ei8ghtni9ne3cdzk                                  
32 - three6tzmqbzgmdeight9fiveztwo2                     - th3ee6tzmqbzgmdei8ght9fi5vezt2o2                  
13 - 1pg6three6sevenmghhdx3                             - 1pg6th3ee6se7venmghhdx3                           
41 - 41threenine1                                       - 41th3eeni9ne1                                     
79 - ncbrrm7six2nine                                    - ncbrrm7si6x2ni9ne                                 
83 - eightxrxdsnsvzddhrqvkfmseven3ntpqhsbttqmlp         - ei8ghtxrxdsnsvzddhrqvkfmse7ven3ntpqhsbttqmlp      
16 - one3fourmmrhpjmnjnqxkf4ftkxsvsix                   - o1e3fo4urmmrhpjmnjnqxkf4ftkxsvsi6x                
54 - 54zdqrrmzd                                         - 54zdqrrmzd                                        
65 - rftdstx6hdrhmqjs9b35                               - rftdstx6hdrhmqjs9b35                              
55 - fiveseven8five5                                    - fi5vese7ven8fi5ve5                                
44 - gzfkkqznk4                                         - gzfkkqznk4                                        
62 - six32ckkbh                                         - si6x32ckkbh                                       
18 - jpk171fivesevenhbjlddveightvcqh                    - jpk171fi5vese7venhbjlddvei8ghtvcqh                
77 - 71foursix7                                         - 71fo4ursi6x7                                      
21 - 2nine4onelkvplzhj7onen                             - 2ni9ne4o1elkvplzhj7o1en                           
44 - 4nrvsh3twoprvpgltsix1pzbdhvfour                    - 4nrvsh3t2oprvpgltsi6x1pzbdhvfo4ur                 
77 - skvnpjfmkhmf7547tszjzmq                            - skvnpjfmkhmf7547tszjzmq                           
28 - two3ctthreesix3sjflprlrcg8bnhxs                    - t2o3ctth3eesi6x3sjflprlrcg8bnhxs                  
62 - six41nmgpztwo                                      - si6x41nmgpzt2o                                    
27 - dkkhmgmjtwo4seven                                  - dkkhmgmjt2o4se7ven                                
82 - 8jqcmhrbmcninehbpxdjpvbk882ktjxp                   - 8jqcmhrbmcni9nehbpxdjpvbk882ktjxp                 
53 - hlbhcfivetwo77three                                - hlbhcfi5vet2o77th3ee                              
18 - 19ccmrmh1lgmngl8                                   - 19ccmrmh1lgmngl8                                  
58 - 5eightnhfsjzjseventhreefiveeighteight              - 5ei8ghtnhfsjzjse7venth3eefi5veei8ghtei8ght        
35 - 3dkvxfive                                          - 3dkvxfi5ve                                        
39 - 39zn                                               - 39zn                                              
27 - cqsklnrdhtwoeight814rdncfthrjbc7                   - cqsklnrdht2oei8ght814rdncfthrjbc7                 
13 - 13pfspbxkfrr                                       - 13pfspbxkfrr                                      
52 - five7sevenfourfour42tppvrfqrvz                     - fi5ve7se7venfo4urfo4ur42tppvrfqrvz                
17 - nboneightfour9eight7threefournmvcrgmkx7hs          - nbo1ei8ghtfo4ur9ei8ght7th3eefo4urnmvcrgmkx7hs     
69 - sixoneppbone5ctdhjzzrnine                          - si6xo1eppbo1e5ctdhjzzrni9ne                       
59 - 5one1nineeight1two99                               - 5o1e1ni9neei8ght1t2o99                            
77 - 7rjvqdvgxxmb                                       - 7rjvqdvgxxmb                                      
66 - sixbkdpftd6                                        - si6xbkdpftd6                                      
69 - 699                                                - 699                                               
99 - rflvscthxb9one9jtfqd                               - rflvscthxb9o1e9jtfqd                              
62 - sixtwo2hsclsg                                      - si6xt2o2hsclsg                                    
83 - 8nzgpt7eightfour6zhjxqjmrq53                       - 8nzgpt7ei8ghtfo4ur6zhjxqjmrq53                    
45 - pddnfour1one749five                                - pddnfo4ur1o1e749fi5ve                             
22 - gbbprvrq23seven77zssgktwo                          - gbbprvrq23se7ven77zssgkt2o                        
21 - ppc2flmdjrp7twoonerjhtlv                           - ppc2flmdjrp7t2oo1erjhtlv                          
86 - vlltgb8seveneight5clqsthree6                       - vlltgb8se7venei8ght5clqsth3ee6                    
13 - onetwobtgdkkxv1five6lcfvkhm9three                  - o1et2obtgdkkxv1fi5ve6lcfvkhm9th3ee                
26 - two8threesixsix                                    - t2o8th3eesi6xsi6x                                 
58 - 5threeeight                                        - 5th3eeei8ght                                      
11 - onespeight9twonexpr                                - o1espei8ght9t2o1expr                              
45 - pzfourseven8five9five                              - pzfo4urse7ven8fi5ve9fi5ve                         
98 - 9mbdbphhrfeight                                    - 9mbdbphhrfei8ght                                  
44 - fournt14                                           - fo4urnt14                                         
22 - jlcb2                                              - jlcb2                                             
32 - three3eightnfj2                                    - th3ee3ei8ghtnfj2                                  
62 - 6four2fgsndlslkr                                   - 6fo4ur2fgsndlslkr                                 
87 - 8sevensxcjl6fivefivesssevenqghn                    - 8se7vensxcjl6fi5vefi5vessse7venqghn               
35 - 3xgzj66svlvqgcvzzlb5vvjvmvb                        - 3xgzj66svlvqgcvzzlb5vvjvmvb                       
64 - hfhmngkv64                                         - hfhmngkv64                                        
26 - 263six                                             - 263si6x                                           
19 - oneone15qtgtksjdgz27hjl9                           - o1eo1e15qtgtksjdgz27hjl9                          
16 - 1six8mrrkx6                                        - 1si6x8mrrkx6                                      
74 - vdhslzfgsevenfivemseven4fourq                      - vdhslzfgse7venfi5vemse7ven4fo4urq                 
54 - vdjlnrvqjb5thsevenfiveonexskqrfourhtcl             - vdjlnrvqjb5thse7venfi5veo1exskqrfo4urhtcl         
17 - 1ninefoursix6seven                                 - 1ni9nefo4ursi6x6se7ven                            
24 - twobvpnjmspxmgxkv4twotjjkbxfgs4                    - t2obvpnjmspxmgxkv4t2otjjkbxfgs4                   
58 - fivefour8kfjrpdddhr                                - fi5vefo4ur8kfjrpdddhr                             
61 - dvbljqpznfjjp6sevengvbdxm1bnzhqmcdgpzrd1           - dvbljqpznfjjp6se7vengvbdxm1bnzhqmcdgpzrd1         
34 - 34cmclpfrgrjpxpjpdv                                - 34cmclpfrgrjpxpjpdv                               
96 - 9xcdkhtsdmtvlrtlcbsixtrjqxg                        - 9xcdkhtsdmtvlrtlcbsi6xtrjqxg                      
79 - rdhqfcseventhree9tqggvslm                          - rdhqfcse7venth3ee9tqggvslm                        
49 - gddfoursevenrqvqdkqbr6ninecfd                      - gddfo4urse7venrqvqdkqbr6ni9necfd                  
11 - 19cjpltfxspkpxkctdhjkncnbtwoone                    - 19cjpltfxspkpxkctdhjkncnbt2oo1e                   
79 - mseven7six4five19hjd                               - mse7ven7si6x4fi5ve19hjd                           
77 - jcqlxpmmj7rsrrngnq2seven                           - jcqlxpmmj7rsrrngnq2se7ven                         
11 - fssvonepgqmrgbv1                                   - fssvo1epgqmrgbv1                                  
41 - fourfivefoursixthreegjgxhbzrgx1                    - fo4urfi5vefo4ursi6xth3eegjgxhbzrgx1               
59 - fzdfbxsths5szkgkgzdmnvtnine9nqb                    - fzdfbxsths5szkgkgzdmnvtni9ne9nqb                  
68 - rszfmx6eightnine6eightj                            - rszfmx6ei8ghtni9ne6ei8ghtj                        
33 - three199twol7six3                                  - th3ee199t2ol7si6x3                                
36 - threedmxbsevenjmdvrzlfive26                        - th3eedmxbse7venjmdvrzlfi5ve26                     
91 - ninehkbdkc594one                                   - ni9nehkbdkc594o1e                                 
66 - 6fsix                                              - 6fsi6x                                            
56 - fiveseven51fjlx6                                   - fi5vese7ven51fjlx6                                
31 - bj3fivesix1                                        - bj3fi5vesi6x1                                     
99 - 9vxcstvpf                                          - 9vxcstvpf                                         
36 - threeseven6                                        - th3eese7ven6                                      
92 - ninefive4twoonetwo                                 - ni9nefi5ve4t2oo1et2o                              
86 - 8seven6                                            - 8se7ven6                                          
25 - twopxsts95                                         - t2opxsts95                                        
36 - pzhxsxnnkthree6                                    - pzhxsxnnkth3ee6                                   
61 - 6ninem591                                          - 6ni9nem591                                        
77 - 7drfqdsjsnfdbqp                                    - 7drfqdsjsnfdbqp                                   
23 - p2plgbninethreesixthree                            - p2plgbni9neth3eesi6xth3ee                         
57 - 5seventnhvjfrlkggfjbmlzxhnnnsh                     - 5se7ventnhvjfrlkggfjbmlzxhnnnsh                   
75 - seven691rjmnfzddfive                               - se7ven691rjmnfzddfi5ve                            
46 - 466mmgnh                                           - 466mmgnh                                          
37 - dsctthree7                                         - dsctth3ee7                                        
81 - eightqlfourzndmzltp34xjbdmpjs1                     - ei8ghtqlfo4urzndmzltp34xjbdmpjs1                  
21 - stmprbctwo1ninesxbzqkkdqgdqhone                    - stmprbct2o1ni9nesxbzqkkdqgdqho1e                  
74 - sevensixeight91sixjscqxlzj4                        - se7vensi6xei8ght91si6xjscqxlzj4                   
28 - vrctfpbp2bdknhtwothree68ckzlgkghponeightg          - vrctfpbp2bdknht2oth3ee68ckzlgkghpo1ei8ghtg        
19 - one82lzh1m9                                        - o1e82lzh1m9                                       
58 - 5dgkljnlvnthbdfeight7x9kloneightrp                 - 5dgkljnlvnthbdfei8ght7x9klo1ei8ghtrp              
91 - 9pdsgfourzcfour51one                               - 9pdsgfo4urzcfo4ur51o1e                            
36 - 3twonltnmdqttqmj6fivefivesix                       - 3t2onltnmdqttqmj6fi5vefi5vesi6x                   
18 - 1four8szcp                                         - 1fo4ur8szcp                                       
88 - dqbrkz8xp                                          - dqbrkz8xp                                         
32 - 3twoftqxxgdg                                       - 3t2oftqxxgdg                                      
61 - sflsixzjq1                                         - sflsi6xzjq1                                       
63 - 6nine4plhvcthree                                   - 6ni9ne4plhvcth3ee                                 
49 - znzdrj4526fjtszspfour9pk                           - znzdrj4526fjtszspfo4ur9pk                         
79 - 785bttrfnrtzvninehqzthfr                           - 785bttrfnrtzvni9nehqzthfr                         
68 - 6slx7six8qhppjmbcrj                                - 6slx7si6x8qhppjmbcrj                              
